Module	Section	Sample Name	Source
Salmon	all_sections	CSR2019-0398_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0398_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0227_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0227_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0842_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0842_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0839_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0839_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0080_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0080_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0209_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0209_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0383_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0383_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0851_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0851_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0050_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0050_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0857_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0857_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0860_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0860_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0059_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0059_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0833_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0833_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0389_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0389_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0923_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0923_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0023_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0023_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0407_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0407_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0230_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0230_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0236_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0236_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0053_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0053_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0032_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0032_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0221_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0221_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0718_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0718_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0848_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0848_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0392_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0392_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0824_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0824_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0005_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0005_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0017_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0017_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0014_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0014_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0089_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0089_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0830_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0830_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0416_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0416_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0712_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0712_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0721_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0721_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0401_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0401_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0077_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0077_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0212_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0212_quant/libParams/flenDist.txt
