Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
16	:	1624414043.540	   251.654	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0212_O1_paired.fastq.gz -2 data/qc/CSR2019-0212_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0212_quant
17	:	1624414145.680	   253.651	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0218_O1_paired.fastq.gz -2 data/qc/CSR2019-0218_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0218_quant
18	:	1624414207.555	   277.192	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0221_O1_paired.fastq.gz -2 data/qc/CSR2019-0221_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0221_quant
19	:	1624414295.202	   249.118	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0227_O1_paired.fastq.gz -2 data/qc/CSR2019-0227_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0227_quant
20	:	1624414399.340	   228.091	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0230_O1_paired.fastq.gz -2 data/qc/CSR2019-0230_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0230_quant
22	:	1624414544.327	   185.093	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0239_O1_paired.fastq.gz -2 data/qc/CSR2019-0239_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0239_quant
21	:	1624414484.755	   280.079	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0236_O1_paired.fastq.gz -2 data/qc/CSR2019-0236_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0236_quant
23	:	1624414627.439	   228.667	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0371_O1_paired.fastq.gz -2 data/qc/CSR2019-0371_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0371_quant
24	:	1624414729.426	   213.654	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0380_O1_paired.fastq.gz -2 data/qc/CSR2019-0380_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0380_quant
25	:	1624414764.843	   236.171	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0383_O1_paired.fastq.gz -2 data/qc/CSR2019-0383_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0383_quant
26	:	1624414856.114	   247.138	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0389_O1_paired.fastq.gz -2 data/qc/CSR2019-0389_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0389_quant
27	:	1624414943.089	   225.193	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0392_O1_paired.fastq.gz -2 data/qc/CSR2019-0392_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0392_quant
28	:	1624415001.022	   263.717	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0398_O1_paired.fastq.gz -2 data/qc/CSR2019-0398_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0398_quant
30	:	1624416377.723	   123.816	0	0	0	11	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0407_O1_paired.fastq.gz -2 data/qc/CSR2019-0407_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0407_quant
29	:	1624416377.719	   241.692	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0401_O1_paired.fastq.gz -2 data/qc/CSR2019-0401_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0401_quant
31	:	1624416377.728	   251.194	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0416_O1_paired.fastq.gz -2 data/qc/CSR2019-0416_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0416_quant
32	:	1624416501.550	   244.647	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0709_O1_paired.fastq.gz -2 data/qc/CSR2019-0709_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0709_quant
34	:	1624416628.929	   246.103	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0718_O1_paired.fastq.gz -2 data/qc/CSR2019-0718_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0718_quant
33	:	1624416619.419	   257.106	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0712_O1_paired.fastq.gz -2 data/qc/CSR2019-0712_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0712_quant
35	:	1624416746.204	   265.063	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0721_O1_paired.fastq.gz -2 data/qc/CSR2019-0721_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0721_quant
36	:	1624416875.040	   201.581	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0821_O1_paired.fastq.gz -2 data/qc/CSR2019-0821_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0821_quant
37	:	1624416876.533	   261.079	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0824_O1_paired.fastq.gz -2 data/qc/CSR2019-0824_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0824_quant
38	:	1624417011.275	   200.061	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0830_O1_paired.fastq.gz -2 data/qc/CSR2019-0830_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0830_quant
39	:	1624417076.629	   247.098	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0833_O1_paired.fastq.gz -2 data/qc/CSR2019-0833_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0833_quant
40	:	1624417137.620	   254.065	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0839_O1_paired.fastq.gz -2 data/qc/CSR2019-0839_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0839_quant
41	:	1624417211.343	   211.592	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0842_O1_paired.fastq.gz -2 data/qc/CSR2019-0842_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0842_quant
42	:	1624417323.737	   308.137	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0848_O1_paired.fastq.gz -2 data/qc/CSR2019-0848_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0848_quant
43	:	1624417391.692	   285.111	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0851_O1_paired.fastq.gz -2 data/qc/CSR2019-0851_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0851_quant
44	:	1624417422.941	   291.615	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0857_O1_paired.fastq.gz -2 data/qc/CSR2019-0857_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0857_quant
46	:	1624417676.808	   281.069	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0911_O1_paired.fastq.gz -2 data/qc/CSR2019-0911_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0911_quant
45	:	1624417631.880	   342.046	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0860_O1_paired.fastq.gz -2 data/qc/CSR2019-0860_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0860_quant
47	:	1624417714.562	   275.592	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0914_O1_paired.fastq.gz -2 data/qc/CSR2019-0914_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0914_quant
49	:	1624417973.931	   255.095	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0923_O1_paired.fastq.gz -2 data/qc/CSR2019-0923_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0923_quant
48	:	1624417957.905	   277.019	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0920_O1_paired.fastq.gz -2 data/qc/CSR2019-0920_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0920_quant
30	:	1624419330.577	   140.735	0	0	0	11	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0407_O1_paired.fastq.gz -2 data/qc/CSR2019-0407_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0407_quant
30	:	1624419634.869	   227.090	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0407_O1_paired.fastq.gz -2 data/qc/CSR2019-0407_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0407_quant
