TubeID	MouseID	FamilyNo	FamilyID	Identification	Sex	MouseNo	SamplingDate	SampleType	BodySite	Buffer	SampleBox	SampleLocation	TimePointInDays	TimePointInWeeks	Generation	GestationDayOnBirth	BirthMode	PupsBD	Batch	ExperimentSet	Updates
CSR2019.0833	F094.P1	F094	CS9	Black	M	M0452	20200220	Liver tissue	Liver	RNALater	CSR2019-Box14-064	Lipman-A2-3	14	2	F1	20	CS	20200203PM	Batch7.5	Set2	RNASeqFinished
CSR2019.0839	F094.P2	F094	CS9	Black	F	M0453	20200220	Ileum tissue no content	Ileum	RNALater	CSR2019-Box10-066	Lipman-A2-2	14	2	F1	20	CS	20200203PM	Batch7.5	Set2	RNASeqFinished
CSR2019.0842	F094.P2	F094	CS9	Black	F	M0453	20200220	Liver tissue	Liver	RNALater	CSR2019-Box14-066	Lipman-A2-3	14	2	F1	20	CS	20200203PM	Batch7.5	Set2	RNASeqFinished
CSR2019.0848	F095.P1	F095	CS10	Purple	M	M0459	20200220	Ileum tissue no content	Ileum	RNALater	CSR2019-Box10-068	Lipman-A2-2	14	2	F1	21	CS	20200204PM	Batch7.5	Set2	RNASeqFinished
CSR2019.0851	F095.P1	F095	CS10	Purple	M	M0459	20200220	Liver tissue	Liver	RNALater	CSR2019-Box14-068	Lipman-A2-3	14	2	F1	21	CS	20200204PM	Batch7.5	Set2	RNASeqFinished
CSR2019.0857	F095.P2	F095	CS10	Green	F	M0460	20200220	Ileum tissue no content	Ileum	RNALater	CSR2019-Box10-070	Lipman-A2-2	14	2	F1	21	CS	20200204PM	Batch7.5	Set2	RNASeqFinished
CSR2019.0860	F095.P2	F095	CS10	Green	F	M0460	20200220	Liver tissue	Liver	RNALater	CSR2019-Box14-070	Lipman-A2-3	14	2	F1	21	CS	20200204PM	Batch7.5	Set2	RNASeqFinished
CSR2019.0911	F107.P1	F107	VF18	Red	M	M0527	20200226	Ileum tissue no content	Ileum	RNALater	CSR2019-Box10-082	Lipman-A2-2	16	2	F1	18	VF	20200210PM	Batch8	Set2	RNASeqFinished
CSR2019.0914	F107.P1	F107	VF18	Red	M	M0527	20200226	Liver tissue	Liver	RNALater	CSR2019-Box14-082	Lipman-A2-3	16	2	F1	18	VF	20200210PM	Batch8	Set2	RNASeqFinished
CSR2019.0920	F107.P2	F107	VF18	Red	F	M0528	20200226	Ileum tissue no content	Ileum	RNALater	CSR2019-Box10-084	Lipman-A2-2	16	2	F1	18	VF	20200210PM	Batch8	Set2	RNASeqFinished
CSR2019.0923	F107.P2	F107	VF18	Red	F	M0528	20200226	Liver tissue	Liver	RNALater	CSR2019-Box14-084	Lipman-A2-3	16	2	F1	18	VF	20200210PM	Batch8	Set2	RNASeqFinished
